Variable,Pregunta,Respuestas,ValorInterno,Valor,Open?
APPSRADIO1,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la radio?,,1,"Sí, de una cadena de radio que permite oír sus emisiones",
APPSRADIO2,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la radio?,,1,"Sí, una que permite oír muchas emisoras de radio diferentes (TuneIn,…)",
APPSRADIO3,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la radio?,,1,"Sí, otro tipo de aplicación sobre radio",
APPSRADIO4,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la radio?,,1,No,
APPSRADIONS,¿Utiliza alguna aplicación en su móvil o tablet relacionada con la radio?,,1,NS/NC,
APPSRADIOFREQ,¿Con qué frecuencia usa estas aplicaciones relacionadas con la radio?,FREQ,,,
GEOLOC1,Indique si en los últimos 30 días ha utilizado alguno de los siguientes servicios de geolocalización GPS vía Internet en su teléfono móvil:,,1,Compartir mi localización con amigos o buscarlos cerca de mí,
GEOLOC2,Indique si en los últimos 30 días ha utilizado alguno de los siguientes servicios de geolocalización GPS vía Internet en su teléfono móvil:,,1,"Búsqueda, recepción de ofertas,... de establecimientos cercanos",
GEOLOC3,Indique si en los últimos 30 días ha utilizado alguno de los siguientes servicios de geolocalización GPS vía Internet en su teléfono móvil:,,1,Consultar mediante GPS la ruta para llegar a un sitio,
GEOLOC4,Indique si en los últimos 30 días ha utilizado alguno de los siguientes servicios de geolocalización GPS vía Internet en su teléfono móvil:,,1,Otros usos que requieren mi localización vía GPS ,
GEOLOC5,Indique si en los últimos 30 días ha utilizado alguno de los siguientes servicios de geolocalización GPS vía Internet en su teléfono móvil:,,1,No he usado servicios de geolocalización,
GEOLOCNS,Indique si en los últimos 30 días ha utilizado alguno de los siguientes servicios de geolocalización GPS vía Internet en su teléfono móvil:,,1,NS/NC,
OPIMOV1,No podría vivir sin Internet en el teléfono móvil ,,-,NS/NC,
OPIMOV1,No podría vivir sin Internet en el teléfono móvil ,,0,NS/NC,
OPIMOV1,No podría vivir sin Internet en el teléfono móvil ,,1,Muy en desacuerdo,
OPIMOV1,No podría vivir sin Internet en el teléfono móvil ,,2,En desacuerdo,
OPIMOV1,No podría vivir sin Internet en el teléfono móvil ,,3,Ni de acuerdo ni en desacuerdo,
OPIMOV1,No podría vivir sin Internet en el teléfono móvil ,,4,De acuerdo,
OPIMOV1,No podría vivir sin Internet en el teléfono móvil ,,5,Muy de acuerdo,
OPIMOV2,Me molesta la publicidad en el teléfono móvil ,OPIMOV1,,,
OPIMOV3,Los smartphones han cambiado mi forma de comprar,OPIMOV1,,,
OPIMOV4,Dejo de usar una web si no está adaptada al móvil,OPIMOV1,,,
CURSO,"En el último año, ¿ha seguido algún curso de formación a distancia impartido a través de Internet?",,0,NS/NC,
CURSO,"En el último año, ¿ha seguido algún curso de formación a distancia impartido a través de Internet?",,1,Sí,
CURSO,"En el último año, ¿ha seguido algún curso de formación a distancia impartido a través de Internet?",,2,No,
DECCOM,"Durante el último año ¿ha tomado una decisión de compra de productos o servicios orientado, motivado o informado por contenidos de Internet?",CURSO,,,
COMPRA,¿Cuándo ha sido la última vez que ha efectuado alguna compra de productos o servicios a través de Internet?,,-,NS/NC,
COMPRA,¿Cuándo ha sido la última vez que ha efectuado alguna compra de productos o servicios a través de Internet?,,0,NS/NC,
COMPRA,¿Cuándo ha sido la última vez que ha efectuado alguna compra de productos o servicios a través de Internet?,,1,Ayer,
COMPRA,¿Cuándo ha sido la última vez que ha efectuado alguna compra de productos o servicios a través de Internet?,,2,En los últimos 7 días,
COMPRA,¿Cuándo ha sido la última vez que ha efectuado alguna compra de productos o servicios a través de Internet?,,3,En los últimos 30 días,
COMPRA,¿Cuándo ha sido la última vez que ha efectuado alguna compra de productos o servicios a través de Internet?,,4,En el último año,
COMPRA,¿Cuándo ha sido la última vez que ha efectuado alguna compra de productos o servicios a través de Internet?,,5,Hace más tiempo,
COMPRA,¿Cuándo ha sido la última vez que ha efectuado alguna compra de productos o servicios a través de Internet?,,6,Nunca,
COMPRA1,Producto o servicio comprado a través de Internet en el último año,,1,Ordenadores/componentes/periféricos,
COMPRA2,Producto o servicio comprado a través de Internet en el último año,,1,Software,
COMPRA3,Producto o servicio comprado a través de Internet en el último año,,1,Películas/Series/DVD's,
COMPRA4,Producto o servicio comprado a través de Internet en el último año,,1,Música,
COMPRA5,Producto o servicio comprado a través de Internet en el último año,,1,Libros/revistas,
COMPRA6,Producto o servicio comprado a través de Internet en el último año,,1,Paquetes vacacionales,
COMPRA7,Producto o servicio comprado a través de Internet en el último año,,1,"Alojamiento (hotel, casa rural,...)",
COMPRA8,Producto o servicio comprado a través de Internet en el último año,,1,"Billetes (avión, tren, barco, autocar,...)",
COMPRA9,Producto o servicio comprado a través de Internet en el último año,,1,Alquiler de coches,
COMPRA10,Producto o servicio comprado a través de Internet en el último año,,1,Ocio/Tiempo libre/Entrada espectáculos,
COMPRA11,Producto o servicio comprado a través de Internet en el último año,,1,Ropa y complementos,
COMPRA12,Producto o servicio comprado a través de Internet en el último año,,1,"Coches, motos y accesorios",
COMPRA13,Producto o servicio comprado a través de Internet en el último año,,1,"Electrónica, aparatos electrónicos",
COMPRA14,Producto o servicio comprado a través de Internet en el último año,,1,Alimentación/Bebidas/Droguería/Perfumería,
COMPRA15,Producto o servicio comprado a través de Internet en el último año,,1,Flores y envío de flores,
COMPRA16,Producto o servicio comprado a través de Internet en el último año,,1,Telefonía/Servicios telefónicos,
COMPRA17,Producto o servicio comprado a través de Internet en el último año,,1,Productos o servicios financieros/Seguros,
COMPRA18,Producto o servicio comprado a través de Internet en el último año,,1,Servicios de Internet y reserva dominios,
COMPRA19,Producto o servicio comprado a través de Internet en el último año,,1,"Juegos de azar (loterías, apuestas,…)",
COD2COM6,Producto o servicio comprado a través de Internet en el último año,,,,Si
COM6,Producto o servicio comprado a través de Internet en el último año,,,,Si
COD2COM7,Producto o servicio comprado a través de Internet en el último año,,,,Si
COM7,Producto o servicio comprado a través de Internet en el último año,,,,Si
COD2COM8,Producto o servicio comprado a través de Internet en el último año,,,,Si
COM8,Producto o servicio comprado a través de Internet en el último año,,,,Si
COD2COM9,Producto o servicio comprado a través de Internet en el último año,,,,Si
COM9,Producto o servicio comprado a través de Internet en el último año,,,,Si
COD2COM0,Producto o servicio comprado a través de Internet en el último año,,,,Si
COM10,Producto o servicio comprado a través de Internet en el último año,,,,Si
SUPER1,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,1,Alcampo,
SUPER2,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,1,Caprabo a casa,
SUPER3,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,1,Carrefour on line,
SUPER4,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,1,El Corte Inglés,
SUPER5,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,1,Eroski on line,
SUPER6,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,1,MeQuedoUno Súper,
SUPER7,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,1,Mercadona,
CODSUP1,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,,,Si
SUP11,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,,,Si
CODSUP2,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,,,Si
SUP12,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,,,Si
CODSUP3,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,,,Si
SUP13,Indique a través de qué supermercados virtuales ha comprado productos de Alimentación/Bebidas/Droguería/Perfumería por medio de Internet durante el último año:,,,,Si
CODTUR1,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
CODTUR2,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
CODTUR3,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
CODTUR4,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
CODTUR5,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
TURIS11,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
TURIS12,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
TURIS13,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
TURIS14,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
TURIS15,"Indique a través de qué sitios web ha comprado/contratado paquetes vacacionales, alojamiento, billetes (avión, tren, barco, autocar,...) o ha alquilado coches a través de Internet en el último año:",,,,Si
METODO1,¿Qué método/s de pago suele utilizar para pagar sus compras a través de Internet?,,1,Tarjeta de crédito/débito,
METODO2,¿Qué método/s de pago suele utilizar para pagar sus compras a través de Internet?,,1,Tarjeta establecimiento,
METODO3,¿Qué método/s de pago suele utilizar para pagar sus compras a través de Internet?,,1,Contra reembolso,
METODO4,¿Qué método/s de pago suele utilizar para pagar sus compras a través de Internet?,,1,Domiciliación bancaria,
METODO5,¿Qué método/s de pago suele utilizar para pagar sus compras a través de Internet?,,1,Transferencia,
METODO6,¿Qué método/s de pago suele utilizar para pagar sus compras a través de Internet?,,1,A través del teléfono móvil,
METODO7,¿Qué método/s de pago suele utilizar para pagar sus compras a través de Internet?,,1,Plataforma de pago (Paypal y similares),
METODO8,¿Qué método/s de pago suele utilizar para pagar sus compras a través de Internet?,,1,Otros,
METODONS,¿Qué método/s de pago suele utilizar para pagar sus compras a través de Internet?,,1,NS/NC,
PARTICUL,"En los últimos 30 días, ¿ha pagado/cobrado por algún servicio recibido por/prestado a particulares acordado por Internet?",,-,NS/NC,
PARTICUL,"En los últimos 30 días, ¿ha pagado/cobrado por algún servicio recibido por/prestado a particulares acordado por Internet?",,0,NS/NC,
PARTICUL,"En los últimos 30 días, ¿ha pagado/cobrado por algún servicio recibido por/prestado a particulares acordado por Internet?",,1,"Sí, he pagado",
PARTICUL,"En los últimos 30 días, ¿ha pagado/cobrado por algún servicio recibido por/prestado a particulares acordado por Internet?",,2,"Sí, he cobrado",
PARTICUL,"En los últimos 30 días, ¿ha pagado/cobrado por algún servicio recibido por/prestado a particulares acordado por Internet?",,3,"Sí, he pagado y he cobrado",
PARTICUL,"En los últimos 30 días, ¿ha pagado/cobrado por algún servicio recibido por/prestado a particulares acordado por Internet?",,4,No,
COLAB1,Indique si en los últimos 30 días a través de Internet ha…,,1,"Alquilado alojamiento a particulares (Airbnb,…)",
COLAB2,Indique si en los últimos 30 días a través de Internet ha…,,1,"Compartido coche con desconocidos (BlaBlaCar, Uber,…)",
COLAB3,Indique si en los últimos 30 días a través de Internet ha…,,1,"Compartido comidas con desconocidos (Compartoplato.es,…)",
COLAB4,Indique si en los últimos 30 días a través de Internet ha…,,1,Financiado colectivamente proyectos aportando dinero (crowdfunding),
COLAB5,Indique si en los últimos 30 días a través de Internet ha…,,1,Participado en compras colectivas (unirse a gente para lograr un menor precio),
COLAB6,Indique si en los últimos 30 días a través de Internet ha…,,1,Ninguna de las anteriores,
COLABNS,Indique si en los últimos 30 días a través de Internet ha…,,1,NS/NC,
SHOWROOM1,¿Ha realizado alguna de las siguientes acciones en los últimos 30 días?,,1,Ver características/precio de producto en tienda física y luego comprarlo online,
SHOWROOM2,¿Ha realizado alguna de las siguientes acciones en los últimos 30 días?,,1,Ver características/precio de producto en Internet y luego comprarlo en tienda física,
SHOWROOM3,¿Ha realizado alguna de las siguientes acciones en los últimos 30 días?,,1,Buscar en mi móvil valoraciones de producto mientras lo veo en tienda física,
SHOWROOM4,¿Ha realizado alguna de las siguientes acciones en los últimos 30 días?,,1,Comparar en mi móvil precios de un producto mientras lo veo en tienda física,
SHOWROOM5,¿Ha realizado alguna de las siguientes acciones en los últimos 30 días?,,1,Ninguna de las anteriores,
SHOWROOMNS,¿Ha realizado alguna de las siguientes acciones en los últimos 30 días?,,1,NS/NC,
BOCA1,En los últimos 30 días ¿ha consultado opiniones o comentarios de otras personas hechos a través de Internet acerca de algún producto o servicio?,,-,NS/NC,
BOCA1,En los últimos 30 días ¿ha consultado opiniones o comentarios de otras personas hechos a través de Internet acerca de algún producto o servicio?,,0,NS/NC,
BOCA1,En los últimos 30 días ¿ha consultado opiniones o comentarios de otras personas hechos a través de Internet acerca de algún producto o servicio?,,1,"Sí, y les concedo gran confianza",
BOCA1,En los últimos 30 días ¿ha consultado opiniones o comentarios de otras personas hechos a través de Internet acerca de algún producto o servicio?,,2,"Sí, pero no me inspiran mucha confianza",
BOCA1,En los últimos 30 días ¿ha consultado opiniones o comentarios de otras personas hechos a través de Internet acerca de algún producto o servicio?,,3,No,
BOCA2,En los últimos 30 días ¿ha divulgado a través de Internet sus propias opiniones o comentarios acerca de algún producto o servicio?,,-,NS/NC,
BOCA2,En los últimos 30 días ¿ha divulgado a través de Internet sus propias opiniones o comentarios acerca de algún producto o servicio?,,0,NS/NC,
BOCA2,En los últimos 30 días ¿ha divulgado a través de Internet sus propias opiniones o comentarios acerca de algún producto o servicio?,,1,"Sí, opiniones positivas",
BOCA2,En los últimos 30 días ¿ha divulgado a través de Internet sus propias opiniones o comentarios acerca de algún producto o servicio?,,2,"Sí, opiniones negativas",
BOCA2,En los últimos 30 días ¿ha divulgado a través de Internet sus propias opiniones o comentarios acerca de algún producto o servicio?,,3,"Sí, opiniones positivas y negativas",
BOCA2,En los últimos 30 días ¿ha divulgado a través de Internet sus propias opiniones o comentarios acerca de algún producto o servicio?,,4,No,
BANCO1,En los últimos 30 días ¿Ha operado con entidades bancarias a través de Internet?,,-,NS/NC,
BANCO1,En los últimos 30 días ¿Ha operado con entidades bancarias a través de Internet?,,0,NS/NC,
BANCO1,En los últimos 30 días ¿Ha operado con entidades bancarias a través de Internet?,,1,"Sí, sólo para consultas",
BANCO1,En los últimos 30 días ¿Ha operado con entidades bancarias a través de Internet?,,2,"Sí, para consultas y transacciones",
BANCO1,En los últimos 30 días ¿Ha operado con entidades bancarias a través de Internet?,,3,No,
INFORMAT,¿Cuál cree que es su grado de conocimiento de la informática en general?,,-,NS/NC,
INFORMAT,¿Cuál cree que es su grado de conocimiento de la informática en general?,,0,NS/NC,
INFORMAT,¿Cuál cree que es su grado de conocimiento de la informática en general?,,1,Principiante,
INFORMAT,¿Cuál cree que es su grado de conocimiento de la informática en general?,,2,Medio,
INFORMAT,¿Cuál cree que es su grado de conocimiento de la informática en general?,,3,Avanzado,
INFORMAT,¿Cuál cree que es su grado de conocimiento de la informática en general?,,4,Experto,
TV_1,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de aparatos convencionales",,-,NS/NC,
TV_1,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de aparatos convencionales",,0,NS/NC,
TV_1,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de aparatos convencionales",,1,Ayer,
TV_1,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de aparatos convencionales",,2,Anteayer,
TV_1,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de aparatos convencionales",,3,En los últimos 7 días,
TV_1,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de aparatos convencionales",,4,En los últimos 30 días,
TV_1,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de aparatos convencionales",,5,Hace más tiempo / Nunca,
TV_2,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de Internet",,-,NS/NC,
TV_2,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de Internet",,0,NS/NC,
TV_2,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de Internet",,1,Ayer,
TV_2,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de Internet",,2,Anteayer,
TV_2,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de Internet",,3,En los últimos 7 días,
TV_2,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de Internet",,4,En los últimos 30 días,
TV_2,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de Internet",,5,Hace más tiempo,
TV_2,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha visto la televisión? A través de Internet",,6,Nunca,
RADIO_1,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha escuchado la radio? A través de aparatos convencionales",TV_1,,,
RADIO_2,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha escuchado la radio? A través de Internet",TV_2,,,
PERPAPEL,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha leído un periódico/diario? No electrónico (papel)",TV_1,,,
PERIELEC,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha leído un periódico/diario? Electrónico (Internet)",TV_2,,,
REVISTA,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha leído una revista? No electrónica (papel)",TV_1,,,
REVIELEC,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha leído una revista? Electrónica (Internet)",TV_2,,,
CINE,"Sin contar el día de hoy, ¿cuándo ha sido la última vez que......ha ido al cine?",TV_1,,,
MULTI_1,¿Suele utilizar Internet…… mientras escucha la radio?,,-,NS/NC,
MULTI_1,¿Suele utilizar Internet…… mientras escucha la radio?,,0,NS/NC,
MULTI_1,¿Suele utilizar Internet…… mientras escucha la radio?,,1,"Sí, frecuentemente",
MULTI_1,¿Suele utilizar Internet…… mientras escucha la radio?,,2,"Sí, ocasionalmente",
MULTI_1,¿Suele utilizar Internet…… mientras escucha la radio?,,3,No ,
MULTI_2,¿Suele utilizar Internet…… mientras ve la televisión?,MULTI_1,,,
MULTITV1,Diría Vd. que las actividades que realiza en Internet mientras ve la televisión están relacionadas con el programa de televisión que está viendo…,,-,NS/NC,
MULTITV1,Diría Vd. que las actividades que realiza en Internet mientras ve la televisión están relacionadas con el programa de televisión que está viendo…,,0,NS/NC,
MULTITV1,Diría Vd. que las actividades que realiza en Internet mientras ve la televisión están relacionadas con el programa de televisión que está viendo…,,1,Muchas veces,
MULTITV1,Diría Vd. que las actividades que realiza en Internet mientras ve la televisión están relacionadas con el programa de televisión que está viendo…,,2,Bastantes veces,
MULTITV1,Diría Vd. que las actividades que realiza en Internet mientras ve la televisión están relacionadas con el programa de televisión que está viendo…,,3,Pocas veces,
MULTITV1,Diría Vd. que las actividades que realiza en Internet mientras ve la televisión están relacionadas con el programa de televisión que está viendo…,,4,Nunca o prácticamente nunca,
ATENCION,"Cuando compagina la televisión e Internet simultáneamente, en general ¿dónde diría que centra su atención?",,-,NS/NC,
ATENCION,"Cuando compagina la televisión e Internet simultáneamente, en general ¿dónde diría que centra su atención?",,0,NS/NC,
ATENCION,"Cuando compagina la televisión e Internet simultáneamente, en general ¿dónde diría que centra su atención?",,1,Me fijo principalmente en la tv y hago uso puntual de Internet,
ATENCION,"Cuando compagina la televisión e Internet simultáneamente, en general ¿dónde diría que centra su atención?",,2,Atiendo tanto a la tv como a Internet,
ATENCION,"Cuando compagina la televisión e Internet simultáneamente, en general ¿dónde diría que centra su atención?",,3,Me fijo principalmente en Internet,
MULTITV21,"En los últimos 30 días, mientras veía algún programa en la televisión ¿realizó alguna de las siguientes actividades en Internet?",,1,Ver comentarios sobre el programa,
MULTITV22,"En los últimos 30 días, mientras veía algún programa en la televisión ¿realizó alguna de las siguientes actividades en Internet?",,1,Hacer comentarios sobre el programa,
MULTITV23,"En los últimos 30 días, mientras veía algún programa en la televisión ¿realizó alguna de las siguientes actividades en Internet?",,1,Utilizar el #hashtag del programa,
MULTITV24,"En los últimos 30 días, mientras veía algún programa en la televisión ¿realizó alguna de las siguientes actividades en Internet?",,1,Visitar web o usar app del programa o canal TV,
MULTITV25,"En los últimos 30 días, mientras veía algún programa en la televisión ¿realizó alguna de las siguientes actividades en Internet?",,1,Buscar información sobre el programa,
MULTITV26,"En los últimos 30 días, mientras veía algún programa en la televisión ¿realizó alguna de las siguientes actividades en Internet?",,1,Buscar información sobre un producto o marca que vi en tv,
MULTITV27,"En los últimos 30 días, mientras veía algún programa en la televisión ¿realizó alguna de las siguientes actividades en Internet?",,1,Ninguna de las anteriores,
MULTITV2NS,"En los últimos 30 días, mientras veía algún programa en la televisión ¿realizó alguna de las siguientes actividades en Internet?",,1,NS/NC,
COMENDISP,¿Cuál es el dispositivo principal por el que accede a Internet para ver o hacer comentarios sobre programas de TV?,,-,NS/NC,
COMENDISP,¿Cuál es el dispositivo principal por el que accede a Internet para ver o hacer comentarios sobre programas de TV?,,0,NS/NC,
COMENDISP,¿Cuál es el dispositivo principal por el que accede a Internet para ver o hacer comentarios sobre programas de TV?,,1,Ordenador (portátil o sobremesa),
COMENDISP,¿Cuál es el dispositivo principal por el que accede a Internet para ver o hacer comentarios sobre programas de TV?,,2,Tablet,
COMENDISP,¿Cuál es el dispositivo principal por el que accede a Internet para ver o hacer comentarios sobre programas de TV?,,3,Móvil,
COMENDISP,¿Cuál es el dispositivo principal por el que accede a Internet para ver o hacer comentarios sobre programas de TV?,,4,Otro,
COMENVIA1,¿A través de qué vías suele ver o hacer comentarios en Internet sobre programas de TV?,,1,Redes sociales,
COMENVIA2,¿A través de qué vías suele ver o hacer comentarios en Internet sobre programas de TV?,,1,Mensajería instantánea,
COMENVIA3,¿A través de qué vías suele ver o hacer comentarios en Internet sobre programas de TV?,,1,Web del programa o canal de TV,
COMENVIA4,¿A través de qué vías suele ver o hacer comentarios en Internet sobre programas de TV?,,1,Aplicación de programa o canal de TV,
COMENVIA5,¿A través de qué vías suele ver o hacer comentarios en Internet sobre programas de TV?,,1,Otros,
TVEQUIP1,En los últimos 30 días ¿por medio de que equipos ha visto la televisión a través de Internet?,,1,Ordenador fijo o de sobremesa,
TVEQUIP2,En los últimos 30 días ¿por medio de que equipos ha visto la televisión a través de Internet?,,1,Ordenador portátil / Netbook,
TVEQUIP3,En los últimos 30 días ¿por medio de que equipos ha visto la televisión a través de Internet?,,1,Tablet,
TVEQUIP4,En los últimos 30 días ¿por medio de que equipos ha visto la televisión a través de Internet?,,1,"Televisor conectado a otro equipo (ordenador, tablet…)",
TVEQUIP5,En los últimos 30 días ¿por medio de que equipos ha visto la televisión a través de Internet?,,1,Televisor conectado a Internet (smart tv),
TVEQUIP6,En los últimos 30 días ¿por medio de que equipos ha visto la televisión a través de Internet?,,1,Teléfono móvil,
TVEQUIP7,En los últimos 30 días ¿por medio de que equipos ha visto la televisión a través de Internet?,,1,De otro modo,
TVEQUIPNS,En los últimos 30 días ¿por medio de que equipos ha visto la televisión a través de Internet?,,1,NS/NC,
RADCARTA,"¿Utiliza Vd. programas de radio a la carta (tipo Last.FM, Spotify,...)?",,-,NS/NC,
RADCARTA,"¿Utiliza Vd. programas de radio a la carta (tipo Last.FM, Spotify,...)?",,0,NS/NC,
RADCARTA,"¿Utiliza Vd. programas de radio a la carta (tipo Last.FM, Spotify,...)?",,1,"Sí, frecuentemente",
RADCARTA,"¿Utiliza Vd. programas de radio a la carta (tipo Last.FM, Spotify,...)?",,2,"Sí, ocasionalmente",
RADCARTA,"¿Utiliza Vd. programas de radio a la carta (tipo Last.FM, Spotify,...)?",,3,"No, aunque conozco su existencia",
RADCARTA,"¿Utiliza Vd. programas de radio a la carta (tipo Last.FM, Spotify,...)?",,4,"No, y desconocía su existencia",
PERIODIC,¿Cuál es la manera habitual en que lee el periódico?,,-,NS/NC,
PERIODIC,¿Cuál es la manera habitual en que lee el periódico?,,0,NS/NC,
PERIODIC,¿Cuál es la manera habitual en que lee el periódico?,,1,Ambas ediciones (impresa y electrónica),
PERIODIC,¿Cuál es la manera habitual en que lee el periódico?,,2,Sólo la edición electrónica de Internet,
PERIODIC,¿Cuál es la manera habitual en que lee el periódico?,,3,Sólo la edición impresa,
PERIODIC,¿Cuál es la manera habitual en que lee el periódico?,,4,No suelo leer el periódico,
PEREQUI1,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Periódicos/diarios electrónicos (Internet)? ,,1,Ordenador sobremesa/Portátil/Netbook,
PEREQUI2,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Periódicos/diarios electrónicos (Internet)? ,,1,Tablet,
PEREQUI3,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Periódicos/diarios electrónicos (Internet)? ,,1,Teléfono móvil,
PEREQUI4,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Periódicos/diarios electrónicos (Internet)? ,,1,Lector de libros electrónicos,
PEREQUI5,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Periódicos/diarios electrónicos (Internet)? ,,1,Otro equipo,
PEREQNS,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Periódicos/diarios electrónicos (Internet)? ,,1,NS/NC,
REVEQUI1,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Revistas electrónicas (Internet)?,,1,Ordenador sobremesa/Portátil/Netbook,
REVEQUI2,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Revistas electrónicas (Internet)?,,1,Tablet,
REVEQUI3,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Revistas electrónicas (Internet)?,,1,Teléfono móvil,
REVEQUI4,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Revistas electrónicas (Internet)?,,1,Lector de libros electrónicos,
REVEQUI5,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Revistas electrónicas (Internet)?,,1,Otro equipo,
REVEQNS,En los últimos 30 días ¿a través de qué equipos ha realizado la lectura de…… Revistas electrónicas (Internet)?,,1,NS/NC,
ACTUAL,"En su caso, para estar informado de la actualidad ¿cómo considera Internet?",,-,NS/NC,
ACTUAL,"En su caso, para estar informado de la actualidad ¿cómo considera Internet?",,0,NS/NC,
ACTUAL,"En su caso, para estar informado de la actualidad ¿cómo considera Internet?",,1,Es mi fuente fundamental,
ACTUAL,"En su caso, para estar informado de la actualidad ¿cómo considera Internet?",,2,Fuente secundaria pero importante,
